================ Training Loss (Sun Dec  7 15:12:08 2025) ================
[Rank 0] (epoch: 2, iters: 50, time: 2.625, data: 0.353) , G_GAN: 0.375, G_L1: 4.660, D_real: 0.770, D_fake: 0.460

[Rank 0] (epoch: 4, iters: 50, time: 3.587, data: 0.246) , G_GAN: 0.733, G_L1: 2.831, D_real: 0.669, D_fake: 0.654

[Rank 0] (epoch: 6, iters: 50, time: 3.694, data: 0.225) , G_GAN: 0.850, G_L1: 2.535, D_real: 0.537, D_fake: 0.877

[Rank 0] (epoch: 8, iters: 50, time: 3.517, data: 0.225) , G_GAN: 1.047, G_L1: 2.061, D_real: 0.486, D_fake: 0.810

[Rank 0] (epoch: 10, iters: 50, time: 2.564, data: 0.278) , G_GAN: 0.752, G_L1: 1.943, D_real: 0.658, D_fake: 0.602

[Rank 0] (epoch: 12, iters: 50, time: 2.577, data: 0.434) , G_GAN: 0.672, G_L1: 2.224, D_real: 0.632, D_fake: 0.644

[Rank 0] (epoch: 14, iters: 50, time: 3.258, data: 0.239) , G_GAN: 0.939, G_L1: 1.837, D_real: 0.580, D_fake: 0.646

[Rank 0] (epoch: 16, iters: 50, time: 4.903, data: 0.452) , G_GAN: 0.487, G_L1: 1.906, D_real: 0.838, D_fake: 0.517

[Rank 0] (epoch: 18, iters: 50, time: 2.689, data: 0.509) , G_GAN: 0.865, G_L1: 1.885, D_real: 0.577, D_fake: 0.742

[Rank 0] (epoch: 20, iters: 50, time: 2.839, data: 0.251) , G_GAN: 1.267, G_L1: 1.707, D_real: 0.368, D_fake: 0.927

[Rank 0] (epoch: 22, iters: 50, time: 2.632, data: 0.396) , G_GAN: 0.457, G_L1: 1.686, D_real: 1.186, D_fake: 0.379

[Rank 0] (epoch: 24, iters: 50, time: 2.657, data: 0.263) , G_GAN: 0.573, G_L1: 1.610, D_real: 1.059, D_fake: 0.363

[Rank 0] (epoch: 26, iters: 50, time: 2.608, data: 0.200) , G_GAN: 0.693, G_L1: 1.495, D_real: 0.676, D_fake: 0.655

[Rank 0] (epoch: 28, iters: 50, time: 2.833, data: 0.274) , G_GAN: 0.769, G_L1: 1.424, D_real: 0.799, D_fake: 0.506

[Rank 0] (epoch: 30, iters: 50, time: 2.710, data: 0.298) , G_GAN: 0.904, G_L1: 1.716, D_real: 0.572, D_fake: 0.714

[Rank 0] (epoch: 32, iters: 50, time: 2.886, data: 0.393) , G_GAN: 0.781, G_L1: 1.740, D_real: 0.617, D_fake: 0.748

[Rank 0] (epoch: 34, iters: 50, time: 2.606, data: 0.419) , G_GAN: 0.609, G_L1: 1.348, D_real: 0.997, D_fake: 0.392

[Rank 0] (epoch: 36, iters: 50, time: 3.707, data: 0.254) , G_GAN: 0.614, G_L1: 1.599, D_real: 0.860, D_fake: 0.479

[Rank 0] (epoch: 38, iters: 50, time: 2.556, data: 0.183) , G_GAN: 0.715, G_L1: 1.251, D_real: 0.590, D_fake: 0.789

[Rank 0] (epoch: 40, iters: 50, time: 2.715, data: 0.271) , G_GAN: 0.853, G_L1: 1.439, D_real: 0.724, D_fake: 0.592

[Rank 0] (epoch: 42, iters: 50, time: 2.646, data: 0.834) , G_GAN: 0.830, G_L1: 1.490, D_real: 0.387, D_fake: 1.069

[Rank 0] (epoch: 44, iters: 50, time: 4.882, data: 0.250) , G_GAN: 0.684, G_L1: 1.296, D_real: 0.771, D_fake: 0.545

[Rank 0] (epoch: 46, iters: 50, time: 2.709, data: 0.217) , G_GAN: 0.736, G_L1: 1.503, D_real: 0.577, D_fake: 0.731

[Rank 0] (epoch: 48, iters: 50, time: 3.519, data: 0.248) , G_GAN: 0.783, G_L1: 1.375, D_real: 0.543, D_fake: 0.752

[Rank 0] (epoch: 50, iters: 50, time: 3.610, data: 0.433) , G_GAN: 1.326, G_L1: 1.496, D_real: 0.402, D_fake: 1.091

